Date_complete,ult_mean_speed,ult_mean_dir,ult_SD_speed,ult_SD_dir,ult_updrift
2013-01-08 18:00:00,5.607503,323.67838,2.083329,23.911478,NULL
2013-01-08 18:10:00,4.683272,326.56518,1.852942,23.708548,NULL
2013-01-08 18:20:00,4.42416,331.51516,1.983526,28.11409,NULL
2013-01-08 18:30:00,3.914416,330.57824,1.659932,22.625362,NULL
2013-01-08 18:40:00,3.199857,328.8136,1.355633,26.606288,NULL
2013-01-08 18:50:00,2.709518,332.30384,1.120351,26.7868,NULL
2013-01-08 19:00:00,3.663931,331.18502,1.601587,20.647462,NULL
2013-01-08 19:10:00,3.042704,331.88244,1.026282,22.646238,NULL
2013-01-08 19:20:00,3.515946,338.742,0.951479,13.622978,NULL
2013-01-08 19:30:00,3.875117,337.95428,0.949031,13.161186,NULL
2013-01-08 19:40:00,3.486425,345.9946,0.971374,18.320602,NULL
2013-01-08 19:50:00,4.872097,342.01992,1.355406,13.39045,NULL
2013-01-08 20:00:00,5.892326,340.80148,1.17831,8.014793,NULL
2013-01-08 20:10:00,4.446444,341.96146,1.306976,14.817536,NULL
2013-01-08 20:20:00,5.706496,340.35638,1.488342,12.177236,NULL
2013-01-08 20:30:00,5.669648,335.28256,1.699892,18.25191,NULL
2013-01-08 20:40:00,5.293445,333.80242,1.646478,18.38261,NULL
2013-01-08 20:50:00,5.275563,332.13912,1.792116,18.533862,NULL
2013-01-08 21:00:00,5.095228,333.70032,1.786573,21.008832,NULL
2013-01-08 21:10:00,5.108279,333.6214,1.483466,14.86767,NULL
2013-01-08 21:20:00,5.381872,336.13812,1.817216,14.258206,NULL
2013-01-08 21:30:00,5.005242,337.92362,1.647169,19.535112,NULL
2013-01-08 21:40:00,4.323416,338.52282,1.40329,20.808184,NULL
2013-01-08 21:50:00,4.865453,339.63764,1.149143,15.037948,NULL
2013-01-08 22:00:00,5.797105,337.24398,1.418247,14.938754,NULL
2013-01-08 22:10:00,5.096802,336.70398,1.321773,15.599366,NULL
2013-01-08 22:20:00,6.284482,336.63806,1.191988,8.64373,NULL
2013-01-08 22:30:00,5.902745,336.54156,1.225622,9.99008,NULL
2013-01-08 22:40:00,5.7742,335.42098,1.126619,12.429494,NULL
2013-01-08 22:50:00,5.096791,337.31806,1.267655,14.967452,NULL
2013-01-08 23:00:00,5.245761,335.55062,1.244266,14.129472,NULL
2013-01-08 23:10:00,5.007338,337.01568,1.186784,12.988712,NULL
2013-01-08 23:20:00,4.198365,340.64874,1.112233,11.914702,NULL
2013-01-08 23:30:00,3.904289,336.94532,1.174263,20.100016,NULL
2013-01-08 23:40:00,3.664975,334.7688,1.175801,17.419464,NULL
2013-01-08 23:50:00,4.568715,337.05688,1.257196,17.165786,NULL
2013-01-09 00:00:00,5.254344,336.17858,1.14174,11.755584,NULL
2013-01-09 22:30:00,4.232069,331.77952,1.099333,13.847004,NULL
2013-01-09 22:40:00,3.415166,334.61224,0.991497,14.187238,NULL
2013-01-09 22:50:00,3.151887,335.39526,1.154871,23.080636,NULL
2013-01-09 23:00:00,2.969555,331.69396,1.145182,23.418474,NULL
2013-01-09 23:10:00,3.631052,334.16962,1.27361,18.912178,NULL
2013-01-09 23:20:00,4.428512,335.2862,1.2218,15.08216,NULL
2013-01-09 23:30:00,4.275985,339.80582,0.845096,11.816616,NULL
2013-01-09 23:40:00,3.878973,335.57504,1.218999,19.468688,NULL
2013-01-09 23:50:00,3.220139,329.76606,1.603731,31.594692,NULL
2013-01-10 00:00:00,3.389442,330.56552,1.39584,27.10087,NULL
2013-01-10 00:30:00,3.978421,332.8222,1.290092,17.84524,NULL
2013-01-10 00:40:00,4.1625,332.57294,1.269377,19.21944,NULL
2013-01-10 00:50:00,3.802997,332.4042,1.168784,17.926146,NULL
2013-01-10 01:00:00,3.3722,331.4526,1.216456,22.171494,NULL
2013-01-10 01:10:00,3.242026,333.12134,1.083243,21.356786,NULL
2013-01-10 01:20:00,2.980814,332.9217,0.987329,21.36255,NULL
2013-01-10 01:30:00,2.772285,334.0788,0.903731,21.649262,NULL
2013-01-10 01:40:00,2.747147,333.81782,0.834865,18.730782,NULL
2013-01-10 01:50:00,3.042569,333.42462,0.911539,16.395824,NULL
2013-01-10 02:00:00,2.43817,332.63888,0.963686,21.939662,NULL
2013-01-10 02:10:00,3.106001,333.18284,0.969938,17.791346,NULL
2013-01-10 02:20:00,3.236022,334.06384,0.964381,16.812798,NULL
2013-01-10 02:30:00,2.933151,333.67184,0.795955,14.749694,NULL
2013-01-10 02:40:00,2.628069,331.43042,1.119224,26.288806,NULL
2013-01-10 02:50:00,2.765349,333.21268,1.012658,24.36912,NULL
2013-01-10 03:00:00,2.783267,332.07702,1.001815,23.417076,NULL
2013-01-10 03:10:00,2.220378,328.74816,1.045385,27.410224,NULL
2013-01-10 03:20:00,2.290718,327.5216,1.026244,27.85919,NULL
2013-01-10 03:30:00,2.761566,328.4414,1.07246,24.655942,NULL
